,Train_time,L1_training,L1_valid,MSE_T850,MSE_Z500,MSE_U850,MSE_V850,MSE_Q850,MSE_T2M,MSE_U10,MSE_V10,ACC_T850,ACC_Z500,ACC_T2M,ACC_U10,ACC_V10,Valid_time,Learning_Rate
98,725.743548,0.30328,0.16979,1.365,154.761,2.353,2.333,1.276,1.405,1.523,1.569,0.964,0.989,0.965,0.931,0.928,83.13816,0.0005
99,728.18575,0.30148,0.16808,1.363,150.815,2.354,2.352,1.273,1.407,1.538,1.576,0.964,0.99,0.965,0.929,0.928,80.79797,0.0005
100,721.071926,0.29863,0.16607,1.376,135.422,2.325,2.321,1.269,1.41,1.509,1.564,0.963,0.992,0.964,0.932,0.929,83.12382,0.0005
101,722.417629,0.29209,0.16866,1.368,151.607,2.33,2.303,1.278,1.454,1.52,1.572,0.963,0.99,0.962,0.931,0.93,83.54812,0.0005
102,724.309264,0.2893,0.16503,1.354,135.871,2.333,2.332,1.267,1.419,1.54,1.574,0.964,0.992,0.964,0.929,0.928,84.83758,0.0005
103,732.892895,0.28603,0.16936,1.374,158.001,2.337,2.342,1.27,1.421,1.528,1.595,0.963,0.99,0.964,0.931,0.927,82.55268,0.0005
104,739.237203,0.28119,0.16949,1.359,167.493,2.327,2.3,1.27,1.413,1.527,1.551,0.964,0.989,0.964,0.931,0.932,83.0042,0.0005
105,725.7886,0.27914,0.16848,1.367,163.102,2.354,2.341,1.276,1.424,1.531,1.594,0.964,0.989,0.964,0.93,0.927,82.49936,0.0005
106,719.148747,0.28259,0.16158,1.35,132.023,2.288,2.25,1.268,1.422,1.482,1.516,0.965,0.992,0.964,0.934,0.933,84.02635,0.0005
107,721.556538,0.26959,0.16532,1.355,152.43,2.35,2.284,1.265,1.416,1.516,1.541,0.964,0.99,0.964,0.931,0.931,83.02987,0.0005
108,720.79067,0.27117,0.16411,1.357,137.526,2.298,2.269,1.269,1.425,1.489,1.532,0.964,0.992,0.964,0.934,0.932,83.25201,0.0005
109,719.843124,0.26274,0.167,1.356,144.957,2.354,2.359,1.278,1.416,1.528,1.616,0.964,0.991,0.964,0.93,0.924,85.72912,0.0005
110,723.504808,0.25691,0.16332,1.354,145.718,2.28,2.234,1.267,1.396,1.49,1.53,0.964,0.991,0.965,0.934,0.932,84.58471,0.0005
